Epoch,Epoch Loss,Final Learning Rate
1,5.040011874544781,0.00016650394232721312
2,4.143129571264225,0.0001177360667138662
3,3.6379971473076567,9.61310959237504e-05
4,3.2925465489753685,8.325197116360656e-05
5,3.112931456098834,7.44628267130706e-05
6,3.00533358855481,6.79749498105784e-05
7,2.9304126775645467,6.293257481566386e-05
8,2.8741133425403267,5.88680333569331e-05
9,2.826028892088647,5.550131410907103e-05
10,2.783275304111375,5.2653169715131026e-05
